time,downloaded,total,chunk_size,speed_kbps
1768152607.2266438,1801,30424618,8192,1758.7890625
1768152607.2289581,9993,30424618,8192,3485.079654658028
1768152607.2290251,18185,30424618,8192,8000.0
1768152607.229396,26377,30424618,8192,8000.0
1768152607.2294528,34569,30424618,8192,8000.0
1768152607.2294877,42761,30424618,8192,8000.0
1768152607.2295756,50953,30424618,8192,8000.0
1768152607.229611,58901,30424618,8192,7761.71875
1768152607.4121764,67093,30424618,8192,43.82293779054743
1768152607.4122257,75285,30424618,8192,8000.0
1768152607.412247,80046,30424618,8192,4649.4140625
1768152607.4126112,88238,30424618,8192,8000.0
1768152607.4126298,88504,30424618,8192,259.765625
1768152607.412969,92733,30424618,8192,4129.8828125
1768152607.4139578,96962,30424618,8192,4129.8828125
1768152607.4144647,101191,30424618,8192,4129.8828125
1768152607.4158585,105420,30424618,8192,2986.6093091859343
1768152607.4167757,109649,30424618,8192,4129.8828125
1768152607.4175107,113878,30424618,8192,4129.8828125
1768152607.4182696,118107,30424618,8192,4129.8828125
1768152607.4200456,126299,30424618,8192,4528.472906912946
1768152607.4200635,126565,30424618,8192,259.765625
1768152607.4202604,130794,30424618,8192,4129.8828125
1768152607.4214442,135023,30424618,8192,3528.0056391725184
1768152607.4230068,143215,30424618,8192,5164.9556545496225
1768152607.4230278,143481,30424618,8192,259.765625
1768152607.4235973,147710,30424618,8192,4129.8828125
1768152607.424384,151939,30424618,8192,4129.8828125
1768152607.426583,160131,30424618,8192,3659.819758682259
1768152607.4266045,160397,30424618,8192,259.765625
1768152607.4268458,163840,30424618,8192,3362.3046875
1768152607.4276285,168069,30424618,8192,4129.8828125
1768152607.4281974,172298,30424618,8192,4129.8828125
1768152607.428896,176527,30424618,8192,4129.8828125
1768152607.429752,180756,30424618,8192,4129.8828125
1768152607.4309926,184985,30424618,8192,3358.1742079773176
1768152607.4323459,189214,30424618,8192,3075.5755685260406
1768152607.6076326,197406,30424618,8192,45.770675177029226
1768152607.6081362,197672,30424618,8192,259.765625
1768152607.6090071,205864,30424618,8192,8000.0
1768152607.609035,210359,30424618,8192,4389.6484375
1768152607.6093574,214588,30424618,8192,4129.8828125
1768152607.6106908,218817,30424618,8192,3135.3497994018735
1768152607.6111884,223046,30424618,8192,4129.8828125
1768152607.6137938,231238,30424618,8192,3090.115724455988
1768152607.6138577,239430,30424618,8192,8000.0
1768152607.6167738,247622,30424618,8192,2753.8726322606294
1768152607.6168284,255814,30424618,8192,8000.0
1768152607.6207268,264006,30424618,8192,2061.1119776591995
1768152607.6214936,272198,30424618,8192,8000.0
1768152607.6236749,280390,30424618,8192,3707.136007181282
1768152607.6238954,288582,30424618,8192,8000.0
1768152607.6247985,294912,30424618,8192,6181.640625
1768152607.6275659,303104,30424618,8192,2910.7844850955858
1768152607.627629,311296,30424618,8192,8000.0
1768152607.7980306,319488,30424618,8192,46.952049025363486
1768152607.798083,327680,30424618,8192,8000.0
1768152607.799748,335872,30424618,8192,4835.297258776497
1768152607.7997937,344064,30424618,8192,8000.0
1768152607.8042026,352256,30424618,8192,1818.843230612021
1768152607.8042524,360448,30424618,8192,8000.0
1768152607.8061774,368640,30424618,8192,4179.72801490116
1768152607.8062265,376832,30424618,8192,8000.0
1768152607.8096042,385024,30424618,8192,2378.121281509828
1768152607.8096561,393216,30424618,8192,8000.0
1768152607.813234,401408,30424618,8192,2245.5509270451153
1768152607.8132856,409600,30424618,8192,8000.0
1768152607.8172317,417792,30424618,8192,2033.6053094784959
1768152607.817281,425984,30424618,8192,8000.0
1768152607.819375,434176,30424618,8192,3840.9832419621002
1768152607.819426,442368,30424618,8192,8000.0
1768152607.8229592,450560,30424618,8192,2290.622653310555
1768152607.823012,458752,30424618,8192,8000.0
1768152607.8249884,466944,30424618,8192,4071.4541337601363
1768152607.8250442,475136,30424618,8192,8000.0
1768152607.8285654,483328,30424618,8192,2281.347107746401
1768152607.8286319,491520,30424618,8192,8000.0
1768152607.8311877,499712,30424618,8192,3150.2265519728535
1768152607.8312354,507904,30424618,8192,8000.0
1768152607.834673,516096,30424618,8192,2335.152879463873
1768152607.834719,524288,30424618,8192,8000.0
1768152607.8378139,532480,30424618,8192,2595.2961611984256
1768152607.8378723,540672,30424618,8192,8000.0
1768152607.8412638,548864,30424618,8192,2367.984928584656
1768152607.8413143,557056,30424618,8192,8000.0
1768152607.8482132,565248,30424618,8192,1161.9462534218665
1768152607.8482656,573440,30424618,8192,8000.0
1768152607.994636,581632,30424618,8192,54.663702053560534
1768152607.994724,589824,30424618,8192,8000.0
1768152607.998461,598016,30424618,8192,2152.4470563840805
1768152607.9985583,606208,30424618,8192,8000.0
1768152607.999507,614400,30424618,8192,8000.0
1768152607.999579,622592,30424618,8192,8000.0
1768152608.0041971,630784,30424618,8192,1740.4547093106983
1768152608.004269,638976,30424618,8192,8000.0
1768152608.006298,647168,30424618,8192,3969.8293408669774
1768152608.006362,655360,30424618,8192,8000.0
1768152608.0093448,663552,30424618,8192,2695.4177759135287
1768152608.0094056,671744,30424618,8192,8000.0
1768152608.0126824,679936,30424618,8192,2449.629527642811
1768152608.012735,688128,30424618,8192,8000.0
1768152608.0156984,696320,30424618,8192,2713.5200244060716
1768152608.015761,704512,30424618,8192,8000.0
1768152608.019521,712704,30424618,8192,2135.383364702453
1768152608.0195808,720896,30424618,8192,8000.0
1768152608.0224652,729088,30424618,8192,2785.903348849971
1768152608.022545,737280,30424618,8192,8000.0
1768152608.024837,745472,30424618,8192,3507.0802393610697
1768152608.024883,753664,30424618,8192,8000.0
1768152608.0282958,761856,30424618,8192,2356.892355324395
1768152608.028363,770048,30424618,8192,8000.0
1768152608.0313544,778240,30424618,8192,2683.4832665268996
1768152608.0314014,786432,30424618,8192,8000.0
1768152608.0385005,794624,30424618,8192,1129.8796842600182
1768152608.038566,802816,30424618,8192,8000.0
1768152608.0386167,811008,30424618,8192,8000.0
1768152608.0386643,819200,30424618,8192,8000.0
1768152608.0437286,827392,30424618,8192,1584.5977022604948
1768152608.0437884,835584,30424618,8192,8000.0
1768152608.0612357,843776,30424618,8192,458.8576727109161
1768152608.061291,851968,30424618,8192,8000.0
1768152608.1208677,860160,30424618,8192,134.32104029357362
1768152608.120946,868352,30424618,8192,8000.0
1768152608.1209903,876544,30424618,8192,8000.0
1768152608.1210353,884736,30424618,8192,8000.0
1768152608.1229768,892928,30424618,8192,4150.884391311539
1768152608.1230385,901120,30424618,8192,8000.0
1768152608.1252449,909312,30424618,8192,3647.4717571436213
1768152608.1253104,917504,30424618,8192,8000.0
1768152608.1254184,925696,30424618,8192,8000.0
1768152608.1254692,933888,30424618,8192,8000.0
1768152608.1273277,942080,30424618,8192,4335.103308090038
1768152608.127389,950272,30424618,8192,8000.0
1768152608.1274374,958464,30424618,8192,8000.0
1768152608.1274843,966656,30424618,8192,8000.0
1768152608.1292698,974848,30424618,8192,4515.182333150193
1768152608.1293323,983040,30424618,8192,8000.0
1768152608.1300864,991232,30424618,8192,8000.0
1768152608.1302042,999424,30424618,8192,8000.0
1768152608.1311736,1007616,30424618,8192,8000.0
1768152608.1312318,1015808,30424618,8192,8000.0
1768152608.1312768,1024000,30424618,8192,8000.0
1768152608.1313212,1032192,30424618,8192,8000.0
1768152608.3312483,1040384,30424618,8192,40.017687822258395
1768152608.3313117,1048576,30424618,8192,8000.0
1768152608.334945,1056768,30424618,8192,2211.594311473505
1768152608.3350296,1064960,30424618,8192,8000.0
1768152608.3819945,1073152,30424618,8192,170.39984373878116
1768152608.38206,1081344,30424618,8192,8000.0
1768152608.382106,1089536,30424618,8192,8000.0
1768152608.382144,1097728,30424618,8192,8000.0
1768152608.3821814,1105920,30424618,8192,8000.0
1768152608.3822155,1114112,30424618,8192,8000.0
1768152608.382824,1122304,30424618,8192,8000.0
1768152608.3829308,1130496,30424618,8192,8000.0
1768152608.3829794,1138688,30424618,8192,8000.0
1768152608.3830183,1146880,30424618,8192,8000.0
1768152608.383056,1155072,30424618,8192,8000.0
1768152608.3830955,1163264,30424618,8192,8000.0
1768152608.3831341,1171456,30424618,8192,8000.0
1768152608.3831882,1179648,30424618,8192,8000.0
1768152608.3832266,1187840,30424618,8192,8000.0
1768152608.3832664,1196032,30424618,8192,8000.0
1768152608.38422,1204224,30424618,8192,8000.0
1768152608.384262,1212416,30424618,8192,8000.0
1768152608.3843014,1220608,30424618,8192,8000.0
1768152608.3843367,1228800,30424618,8192,8000.0
1768152608.384427,1236992,30424618,8192,8000.0
1768152608.384468,1245184,30424618,8192,8000.0
1768152608.3852088,1253376,30424618,8192,8000.0
1768152608.3853133,1261568,30424618,8192,8000.0
1768152608.3853626,1269760,30424618,8192,8000.0
1768152608.3854034,1277952,30424618,8192,8000.0
1768152608.385445,1286144,30424618,8192,8000.0
1768152608.3854825,1294336,30424618,8192,8000.0
1768152608.3855174,1302528,30424618,8192,8000.0
1768152608.385552,1310720,30424618,8192,8000.0
1768152608.385597,1318912,30424618,8192,8000.0
1768152608.3856354,1327104,30424618,8192,8000.0
1768152608.386539,1335296,30424618,8192,8000.0
1768152608.386582,1343488,30424618,8192,8000.0
1768152608.3866177,1351680,30424618,8192,8000.0
1768152608.3867261,1359872,30424618,8192,8000.0
1768152608.3867683,1368064,30424618,8192,8000.0
1768152608.386805,1376256,30424618,8192,8000.0
1768152608.3870468,1384448,30424618,8192,8000.0
1768152608.387236,1392640,30424618,8192,8000.0
1768152608.3872843,1400832,30424618,8192,8000.0
1768152608.3873239,1409024,30424618,8192,8000.0
1768152608.3873618,1417216,30424618,8192,8000.0
1768152608.387398,1425408,30424618,8192,8000.0
1768152608.3874357,1433600,30424618,8192,8000.0
1768152608.3874934,1441792,30424618,8192,8000.0
1768152608.387533,1449984,30424618,8192,8000.0
1768152608.387577,1458176,30424618,8192,8000.0
1768152608.388994,1466368,30424618,8192,5697.194204669115
1768152608.3890467,1474560,30424618,8192,8000.0
1768152608.3890862,1482752,30424618,8192,8000.0
1768152608.3891253,1490944,30424618,8192,8000.0
1768152608.389162,1499136,30424618,8192,8000.0
1768152608.3891973,1507328,30424618,8192,8000.0
1768152608.389239,1515520,30424618,8192,8000.0
1768152608.3892803,1523712,30424618,8192,8000.0
1768152608.3893151,1531904,30424618,8192,8000.0
1768152608.3893504,1540096,30424618,8192,8000.0
1768152608.3893845,1548288,30424618,8192,8000.0
1768152608.3894176,1556480,30424618,8192,8000.0
1768152608.3894522,1564672,30424618,8192,8000.0
1768152608.3894868,1572864,30424618,8192,8000.0
1768152608.3905497,1581056,30424618,8192,7631.4035910513785
1768152608.3906972,1589248,30424618,8192,8000.0
1768152608.3920584,1597440,30424618,8192,5936.47959380072
1768152608.3921165,1605632,30424618,8192,8000.0
1768152608.392162,1613824,30424618,8192,8000.0
1768152608.3922029,1622016,30424618,8192,8000.0
1768152608.392248,1630208,30424618,8192,8000.0
1768152608.3922853,1638400,30424618,8192,8000.0
1768152608.3923242,1646592,30424618,8192,8000.0
1768152608.392366,1654784,30424618,8192,8000.0
1768152608.3924043,1662976,30424618,8192,8000.0
1768152608.3924422,1671168,30424618,8192,8000.0
1768152608.3924806,1679360,30424618,8192,8000.0
1768152608.3925214,1687552,30424618,8192,8000.0
1768152608.3925595,1695744,30424618,8192,8000.0
1768152608.392614,1703936,30424618,8192,8000.0
1768152608.3930483,1712128,30424618,8192,8000.0
1768152608.3932574,1720320,30424618,8192,8000.0
1768152608.3939283,1728512,30424618,8192,8000.0
1768152608.3939986,1736704,30424618,8192,8000.0
1768152608.4028714,1744896,30424618,8192,903.2199871592475
1768152608.4029293,1753088,30424618,8192,8000.0
1768152608.4054422,1761280,30424618,8192,3201.024407158499
1768152608.40551,1769472,30424618,8192,8000.0
1768152608.4082212,1777664,30424618,8192,2970.2234875063373
1768152608.4082754,1785856,30424618,8192,8000.0
1768152608.413767,1794048,30424618,8192,1460.307050510476
1768152608.4138227,1802240,30424618,8192,8000.0
1768152608.4138634,1810432,30424618,8192,8000.0
1768152608.413905,1818624,30424618,8192,8000.0
1768152608.4148602,1826816,30424618,8192,8000.0
1768152608.4149125,1835008,30424618,8192,8000.0
1768152608.4160042,1843200,30424618,8192,7401.239947182833
1768152608.4160588,1851392,30424618,8192,8000.0
1768152608.4191394,1859584,30424618,8192,2606.8820973209
1768152608.4191942,1867776,30424618,8192,8000.0
1768152608.4217587,1875968,30424618,8192,3135.2875346095584
1768152608.4218388,1884160,30424618,8192,8000.0
1768152608.424125,1892352,30424618,8192,3522.5222074367202
1768152608.4241881,1900544,30424618,8192,8000.0
1768152608.4457762,1908736,30424618,8192,370.90956145633936
1768152608.4459016,1916928,30424618,8192,8000.0
1768152608.4532344,1925120,30424618,8192,1093.329331471435
1768152608.453295,1933312,30424618,8192,8000.0
1768152608.4555826,1941504,30424618,8192,3518.184665144293
1768152608.4556377,1949696,30424618,8192,8000.0
1768152608.465274,1957888,30424618,8192,831.2811235135414
1768152608.4653254,1966080,30424618,8192,8000.0
1768152608.4653616,1974272,30424618,8192,8000.0
1768152608.4653988,1982464,30424618,8192,8000.0
1768152608.466929,1990656,30424618,8192,5275.304901127198
1768152608.4669862,1998848,30424618,8192,8000.0
1768152608.4670255,2007040,30424618,8192,8000.0
1768152608.4670665,2015232,30424618,8192,8000.0
1768152608.474958,2023424,30424618,8192,1015.8214018643125
1768152608.4750197,2031616,30424618,8192,8000.0
1768152608.475672,2039808,30424618,8192,8000.0
1768152608.4758317,2048000,30424618,8192,8000.0
1768152608.4803107,2056192,30424618,8192,1792.5162486105414
1768152608.4803877,2064384,30424618,8192,8000.0
1768152608.4817562,2072576,30424618,8192,5938.682526780015
1768152608.4818127,2080768,30424618,8192,8000.0
1768152608.5262933,2088960,30424618,8192,179.91516981228344
